unit	coeff
cm3 STPm-1	0.01
cm3 (STP) m-1	0.01
cm3@STPm-1	0.01
cm3 @STPm-1	0.01
cm3 @STP m-1	0.01
cm3gas(STP)⋅m-1	0.01
cm3/cm	1.0
cm3 /cm	1.0
cm3·/cm	1.0
cm3(STP)/cm	1.0
cm3 STP/cm	1.0
cm3 (STP) /cm	1.0
cm3@STP/cm	1.0
cm3 @STP/cm	1.0
cm3 @STP /cm	1.0
cm3gas(STP)⋅/cm	1.0
cm3cm-1	1.0
cm3 cm-1	1.0
cm3·cm-1	1.0
cm3(STP)cm-1	1.0
cm3 STPcm-1	1.0
cm3 (STP) cm-1	1.0
cm3@STPcm-1	1.0
cm3 @STPcm-1	1.0
cm3 @STP cm-1	1.0
cm3gas(STP)⋅cm-1	1.0
cm3mil	0.00254
cm3 mil	0.00254
cm3·mil	0.00254
cm3(STP)mil	0.00254
